Symbol,Name,Exchange,Latest,Sector,Industry,"9M %Chg"
FIS,"Fidelity National Information Services",NYSE,41.41,"Business Services","Financial Transaction Services",-37.58%
FISV,"Fiserv Inc",NASDAQ,50.49,"Business Services","Financial Transaction Services",-58.06%
FITB,"Fifth Third Bancorp",NYSE,58.17,Finance,"Banks - Major Regional",+35.32%
FIX,"Comfort Systems USA",NYSE,1739.49,Construction,"Building Prdcts - Air Heating",+103.18%
FLEX,"Flextronics Intl Ltd",NASDAQ,126.76,"Computers and Technology","Electronics Products - Misc",+97.36%
FOX,"Fox Corp Cl B",NASDAQ,50.45,"Consumer Discretionary","Broadcast - Radio & TV",-2.13%
FOXA,"Fox Corp Cl A",NASDAQ,55.66,"Consumer Discretionary","Broadcast - Radio & TV",-3.08%
FRT,"Federal Realty Investment Trust",NYSE,122.84,Finance,"REIT - Equity Trust Retail",+24.76%
FSLR,"First Solar Inc",NASDAQ,223.94,Oils-Energy,Solar,-9.47%
FTNT,"Fortinet Inc",NASDAQ,163.91,"Computers and Technology",Security,+96.85%
FTV,"Fortive Corp",NYSE,60.56,"Computers and Technology","Electronic Test Equipment",+24.41%
GD,"General Dynamics Corp",NYSE,367.35,Aerospace,"Aerospace - Defense",+10.50%
GDDY,"Godaddy Inc",NYSE,90.27,"Computers and Technology","Internet Services - Delivery",-30.41%
GE,"GE Aerospace",NYSE,357.21,Aerospace,"Aerospace - Defense",+18.40%
GEHC,"GE Healthcare Technologies",NASDAQ,63.69,Medical,"Medical Products",-13.29%
GEN,"Gen Digital Inc",NASDAQ,26.36,"Business Services","Technology Services",-2.13%
GEV,"GE Vernova Inc",NYSE,1042.86,Oils-Energy,"Other Alt Energy",+65.92%
GILD,"Gilead Sciences Inc",NASDAQ,132.04,Medical,"Medical - Biomedical",+12.11%
GIS,"General Mills",NYSE,36.88,"Consumer Staples","Food - Misc & Diversified",-22.64%
GL,"Globe Life Inc",NYSE,180.16,Finance,"Insurance - Accident & Health",+30.62%
GLW,"Corning Inc",NYSE,171.26,"Computers and Technology","Communications Components",+95.50%
GM,"General Motors Company",NYSE,77.42,Auto-Tires-Trucks,"Auto - Domestic",+33.50%
GNRC,"Generac Holdings Inc",NYSE,223.4,"Industrial Products","Machinery - General Industrial",+15.48%
GOOG,"Alphabet Cl C",NASDAQ,369.25,"Computers and Technology","Internet - Services",+47.38%
GOOGL,"Alphabet Cl A",NASDAQ,370.6,"Computers and Technology","Internet - Services",+48.36%
GPC,"Genuine Parts Company",NYSE,121.18,Retail-Wholesale,"Retail - Wholesale Auto Parts",-8.74%
GPN,"Global Payments Inc",NYSE,77.95,"Business Services","Financial Transaction Services",-8.66%
GRMN,"Garmin Ltd",NYSE,241.52,"Computers and Technology","Electronics Products - Misc",-2.37%
GS,"Goldman Sachs Group",NYSE,1139.07,Finance,"Finance - Investment Brokers",+47.22%
GWW,"W.W. Grainger",NYSE,1366.17,"Industrial Products","Industrial Services",+42.29%
HAL,"Halliburton Company",NYSE,34.97,Oils-Energy,"Oil - Field Services",+55.45%
HAS,"Hasbro Inc",NASDAQ,80.47,"Consumer Discretionary","Toys & Game & Hobby",+8.73%
HBAN,"Huntington Bancshares",NASDAQ,18.17,Finance,"Banks - Midwest",+11.93%
HCA,"Hca Holdings Inc",NYSE,380.41,Medical,"Medical Services",-9.95%
HD,"Home Depot",NYSE,343.35,Retail-Wholesale,"Retail - Home Furniture",-11.75%
HIG,"The Hartford Insurance Group",NYSE,134.63,Finance,"Insurance - Proprty & Casualty",+5.46%
HII,"Huntington Ingalls Industries",NYSE,278.4,Aerospace,"Aerospace - Defense",-2.56%
HLT,"Hilton Inc",NYSE,328.41,"Consumer Discretionary","Hotels & Motels",+23.82%
HON,"Honeywell International",NASDAQ,222.27,Conglomerates,"Conglomerates - Div Operations",+10.44%
HONA,"Honeywell Aerospace Inc",NASDAQ,213.88,Aerospace,"Aerospace - Defense Equipment",N/A
HOOD,"Robinhood Markets Cl A",NASDAQ,115.56,Finance,"Finance - Investment Brokers",-14.60%
HPE,"Hewlett Packard Enterprise",NYSE,46.58,"Computers and Technology","Computer - Integrated Systems",+84.17%
HPQ,"HP Inc",NYSE,23.48,"Computers and Technology","Computer - Micro",-18.05%
HRL,"Hormel Foods Corp",NYSE,25.3,"Consumer Staples","Food - Meat Products",+7.25%
HSIC,"Henry Schein Inc",NASDAQ,87.61,Medical,"Medical - Dental Suppliers",+38.47%
HST,"Host Marriott Financial Trust",NASDAQ,23.74,Finance,"REIT - Equity Trust Other",+43.09%
HSY,"Hershey Foods Corp",NYSE,170.61,"Consumer Staples","Food - Confectionery",-10.75%
HUBB,"Hubbell Inc B",NYSE,479.8,"Industrial Products","Machinery - Elect Utilities",+9.04%
HUM,"Humana Inc",NYSE,410.51,Medical,"Medical - HMO",+57.27%
